obs,h1,h2,act_raw,act_clip,rpm_raw,rpm_clip
-0.00062586,-0.07529488,-0.86004460,0.97783828,0.97783828,16777.49804688,16777.49804688
0.00119143,0.34491014,0.00283047,0.37295082,0.37295082,16293.72656250,16293.72656250
0.00127888,0.12776080,0.57505971,1.46320307,1.00000000,17165.67968750,16795.22265625
0.01394726,-0.36111459,-0.02145318,1.23787165,1.00000000,16985.46679688,16795.22265625
-0.00023007,-0.08742639,-0.00461734,,,,
-0.00003125,0.16395636,0.03573970,,,,
-0.00156648,-0.03132275,0.05235097,,,,
0.00436729,0.03615942,0.06579690,,,,
0.21470614,0.24186286,0.71006131,,,,
-0.24210733,-0.28298995,0.90733463,,,,
-0.02988197,0.20023145,-0.47338712,,,,
-0.00220758,-0.13953215,0.00978691,,,,
,-0.10489272,0.03270063,,,,
,-0.10135805,-0.71114999,,,,
,0.09978195,-0.22458334,,,,
,-0.06473495,0.92516249,,,,
,-0.02679601,0.13046525,,,,
,0.20068647,-0.25642294,,,,
,0.20268486,-0.93809718,,,,
,0.04380697,-0.25672704,,,,
,-0.08484654,-0.08680902,,,,
,-0.07087040,0.35466096,,,,
,-0.01326417,0.96550781,,,,
,0.10610465,0.92302346,,,,
,0.25627273,0.37558368,,,,
,0.13316014,0.56391025,,,,
,-0.04936974,-0.63595229,,,,
,-0.08351241,0.75482285,,,,
,-0.04266885,0.00633958,,,,
,-0.03718102,-0.03499039,,,,
,-0.07280299,0.09135399,,,,
,0.09169009,-0.04277725,,,,
,0.13451135,0.06309237,,,,
,-0.05851615,0.56866401,,,,
,-0.34614813,0.02433171,,,,
,0.26409486,-0.08116918,,,,
,-0.28741157,-0.00604888,,,,
,-0.15518820,0.00618200,,,,
,0.12373549,0.36672375,,,,
,0.03872415,-0.09963170,,,,
,-0.04261500,-0.08580065,,,,
,0.19535071,-0.21442986,,,,
,-0.03970744,-0.98581934,,,,
,-0.11631327,-0.04660838,,,,
,-0.04105690,-0.01258695,,,,
,0.10909376,-0.01959003,,,,
,-0.08323359,0.85125583,,,,
,-0.06521984,-0.60156846,,,,
,0.19989419,0.10448133,,,,
,0.18184625,-0.79169810,,,,
,-0.01018239,0.00220623,,,,
,0.04037735,0.06385121,,,,
,-0.12531289,0.95759332,,,,
,-0.00863656,0.60209203,,,,
,-0.02817460,0.60198259,,,,
,-0.18719779,-0.01072569,,,,
,0.18183330,0.33102363,,,,
,-0.32504171,0.05478363,,,,
,0.21911711,0.22292747,,,,
,-0.27902329,-0.05274174,,,,
,-0.15888262,0.64431381,,,,
,-0.38857454,-0.08979376,,,,
,0.24940762,-0.22903802,,,,
,-0.11245652,0.53039736,,,,
